sentence1,sentence2,score,tfidf_score,bert_score,hybrid_score
a plane is taking off,an air plane is taking off,1.0,0.7092972666062738,0.9372146,0.8688393852125951
a man is playing a large flute,a man is playing a flute,0.76,0.8181802073667197,0.89196694,0.8698308956488892
a man is spreading shreded cheese on a pizza,a man is spreading shredded cheese on an uncooked pizza,0.76,0.6152186908963321,0.8842055,0.803509477336496
three men are playing chess,two men are playing chess,0.52,0.6694188517266485,0.7712636,0.740710163174092
a man is playing the cello,a man seated is playing the cello,0.85,0.8466473536503037,0.92587733,0.9021083508971846
some men are fighting,two men are fighting,0.85,0.6029748160380572,0.88325274,0.799169338903977
a man is smoking,a man is skating,0.1,0.5031026124151314,0.3390217,0.38824597654318105
the man is playing the piano,the man is playing the guitar,0.32,0.7799154245579976,0.45490912,0.5524110115684491
a man is playing on a guitar and singing,a woman is playing an acoustic guitar and singing,0.44000000000000006,0.5056055588739691,0.6308914,0.5933056236272328
a person is throwing a cat on to the ceiling,a person throws a cat on the ceiling,1.0,0.5727393584196199,0.9628879,0.8458432899935373
the man hit the other man with a stick,the man spanked the other man with a stick,0.8400000000000001,0.8477624970048978,0.78244096,0.8020374392679428
a woman picks up and holds a baby kangaroo,a woman picks up and holds a baby kangaroo in her arms,0.9199999999999999,0.7358969498063693,0.9629829,0.8948570861931315
a man is playing a flute,a man is playing a bamboo flute,0.7734,0.8181802073667197,0.88675,0.8661790382727905
a person is folding a piece of paper,someone is folding a piece of paper,0.9334,0.7168117414430624,0.98582226,0.9051190987383081
a man is running on the road,a panda dog is running on the road,0.33340000000000003,0.6327904583679949,0.52584445,0.5579282439251934
a dog is trying to get bacon off his back,a dog is trying to eat the bacon on its back,0.75,0.46598909712311054,0.91061294,0.7772257876887215
the polar bear is sliding on the snow,a polar bear is sliding across the snow,1.0,0.748195020164401,0.96009636,0.8965259694473
a woman is writing,a woman is swimming,0.1,0.5031026124151314,0.39948863,0.4305728292224337
a cat is rubbing against babys face,a cat is rubbing against a baby,0.76,0.5803329846765686,0.9384448,0.8310112685413983
the man is riding a horse,a man is riding on a horse,1.0,0.6694188517266485,0.9480651,0.8644712210277907
a man pours oil into a pot,a man pours wine in a pot,0.64,0.43161341897075156,0.7052865,0.6231845597965264
a man is playing a guitar,a girl is playing a guitar,0.5599999999999999,0.6029748160380572,0.58497894,0.5903776955228582
a panda is sliding down a slide,a panda slides down a slide,0.9199999999999999,0.5101490193104813,0.9469581,0.8159154109208604
a woman is eating something,a woman is eating meat,0.6,0.6029748160380571,0.7326075,0.6937176954370274
a woman peels a potato,a woman is peeling a potato,1.0,0.4112070550676187,0.9537916,0.7910162136005163
the boy fell off his bike,a boy falls off his bike,0.96,0.5803329846765686,0.929598,0.8248184651585247
the woman is playing the flute,a woman is playing a flute,1.0,0.5797386715376657,0.9763875,0.8573928639162862
a rabbit is running from an eagle,a hare is running from a eagle,0.8400000000000001,0.5803329846765686,0.826272,0.7524903148861554
the woman is frying a breaded pork chop,a woman is cooking a breaded pork chop,0.8400000000000001,0.6327904583679949,0.9018704,0.8211464083691631
a girl is flying a kite,a girl running is flying a kite,0.8,0.8181802073667197,0.85418737,0.84338520883172
a man is riding a mechanical bull,a man rode a mechanical bull,0.8,0.5101490193104813,0.9349371,0.8075006655900498
the man is playing the guitar,a man is playing a guitar,0.9818,0.5797386715376657,0.96796215,0.8514951035250509
a woman is dancing and singing with other women,a woman is dancing and singing in the rain,0.6,0.4576241622696325,0.53749734,0.5135353699424864
a man is slicing a bun,a man is slicing an onion,0.48,0.5101490193104813,0.593475,0.5684771887509843
a man is pouring oil into a pan,a man is pouring oil into a skillet,0.8400000000000001,0.7168117414430624,0.8749807,0.8275300040994836
a lion is playing with people,a lion is playing with two men,0.6799999999999999,0.5803329846765686,0.77180076,0.7143603891583111
a dog rides a skateboard,a dog is riding a skateboard,1.0,0.4112070550676187,0.979628,0.8091017529414892
someone is carving a statue,a man is carving a statue,0.75,0.6029748160380572,0.9123094,0.8195090067010656
a woman is slicing an onion,a man is cutting an onion,0.55,0.43161341897075156,0.72069275,0.633968917582705
a woman peels shrimp,a woman is peeling shrimp,1.0,0.4112070550676187,0.95522636,0.7920205518649817
a woman is frying fish,a woman is cooking fish,0.8,0.6029748160380571,0.8552071,0.7795374166589513
a woman is playing an electric guitar,a woman is playing a guitar,0.72,0.7092972666062738,0.90550035,0.8466393968474217
a baby tiger is playing with a ball,a baby is playing with a doll,0.32,0.5803329846765686,0.33969903,0.41188921336847806
a person is slicing a tomato,a person is slicing some meat,0.35,0.5101490193104813,0.73131907,0.6649680189340135
a person cuts an onion,a person is cutting an onion,1.0,0.5101490193104814,0.9766344,0.8366887621133349
a man is playing the piano,a woman is playing the violin,0.2,0.43161341897075156,0.24670039,0.30217429802246326
a woman is playing the flute,a man is playing the guitar,0.2,0.43161341897075156,0.27074364,0.31900456354446644
a man is cutting up a potato,a man is cutting up carrots,0.475,0.6694188517266485,0.70410514,0.6936992347816817
a kid is playing guitar,a boy is playing a guitar,0.76,0.6029748160380572,0.8725719,0.7916927706819311
a boy is playing guitar,a man is playing a guitar,0.64,0.6029748160380572,0.69130516,0.6648060452562109
a man is playing guitar,a boy is playing a guitar,0.64,0.6029748160380572,0.69847035,0.6698216867070929
a little boy is playing a keyboard,a boy is playing key board,0.8800000000000001,0.43161341897075156,0.7697399,0.6683019678337121
a man is playing a guitar,a man is playing an electric guitar,0.75,0.7092972666062738,0.88094217,0.8294487020384618
a dog licks a baby,a dog is licking a baby,0.95,0.4112070550676187,0.9553555,0.7921109721111059
a woman is slicing an onion,a man is cutting and onion,0.64,0.25233420143369617,0.6948571,0.5621002388293855
a man is playing the guitar,a man is playing the drums,0.31120000000000003,0.6694188517266485,0.46409106,0.5256893873791091
a woman is slicing a pepper,a woman is cutting a red pepper,0.7876000000000001,0.5101490193104813,0.81256324,0.7218389562814256
a man is playing the drums,a man plays the drum,1.0,0.2912194185636897,0.90418416,0.7202947334403532
a woman rides a horse,a woman is riding a horse,1.0,0.4112070550676187,0.9755366,0.8062376901553869
a man is eating a banana by a tree,a man is eating a banana,0.8,0.7092972666062738,0.899868,0.8426967880141087
a cat is playing a key board,a man is playing two keyboards,0.32,0.25233420143369617,0.38580912,0.3457666409309023
a man chops down a tree with an axe,a man cut a tree with an axe,0.95,0.6327904583679949,0.9033389,0.8221743500729595
a kid plays with a toy phone,a little boy plays with a toy phone,0.7,0.5803329846765686,0.8965655,0.8016957372875836
a man is riding a motorcycle,a man is riding a horse,0.27999999999999997,0.6029748160380571,0.4956556,0.5278513502698674
a man is riding a motorcycle,a man is riding a horse,0.27999999999999997,0.6029748160380571,0.4956556,0.5278513502698674
a squirrel is spinning around in circles,a squirrel runs around in circles,0.8,0.5803329846765686,0.86235106,0.7777456373425152
a man and a woman are kissing,a man and woman kiss,1.0,0.5101490193104813,0.947456,0.8162639192788621
a man is getting into a car,a man is getting into a car in a garage,0.7666000000000001,0.7474073540060465,0.7788962,0.7694495550062879
a man is dancing,a man is talking,0.12,0.5031026124151314,0.3990847,0.4302900647876192
a man is playing the guitar and singing,a man is playing the guitar,0.5833999999999999,0.7474073540060465,0.79784673,0.7827149263289197
a person is cutting mushrooms,a person is cutting mushrooms with a knife,0.8400000000000001,0.7092972666062738,0.9298475,0.8636823913466283
a tiger cub is making a sound,a tiger is walking around,0.4,0.2912194185636897,0.584371,0.49642549911685163
a person is slicing onions,a person is peeling an onion,0.52,0.2912194185636897,0.8000215,0.6473809079284208
